lv_id;lv_cb_code;lv_nd_code;lv_long;lv_creadat;lv_majdate;lv_majsrc;lv_abddate;lv_abdsrc
180030007;CB000180030007;ND000180030503;7;03/06/2015;;;;
180030341;CB000180030341;ND000180032793;10;02/06/2015;;;;
