od_id;od_do_code;od_tbltype;od_codeobj;od_creadat;od_majdate;od_majsrc;od_abddate;od_abdsrc
459;DO000000000006;ND;ND000180030064;08/06/2015;;;;
460;DO000000000006;ND;ND000180030065;08/06/2015;;;;
461;DO000000000006;ND;ND000180030072;08/06/2015;;;;
462;DO000000000006;ND;ND000180030091;08/06/2015;;;;
463;DO000000000006;ND;ND000180030502;08/06/2015;;;;
464;DO000000000006;ND;ND000180030503;08/06/2015;;;;
465;DO000000000006;ND;ND000180031091;08/06/2015;;;;
466;DO000000000006;ND;ND000180031092;08/06/2015;;;;
467;DO000000000006;ND;ND000180031093;08/06/2015;;;;
468;DO000000000006;ND;ND000180031094;08/06/2015;;;;
469;DO000000000006;ND;ND000180031100;08/06/2015;;;;
470;DO000000000006;ND;ND000180031101;08/06/2015;;;;
471;DO000000000006;ND;ND000180031227;08/06/2015;;;;
472;DO000000000006;ND;ND000180031284;08/06/2015;;;;
473;DO000000000006;ND;ND000180031287;08/06/2015;;;;
474;DO000000000006;ND;ND000180031292;08/06/2015;;;;
475;DO000000000006;ND;ND000180031301;08/06/2015;;;;
476;DO000000000006;ND;ND000180031330;08/06/2015;;;;
477;DO000000000006;ND;ND000180031350;08/06/2015;;;;
478;DO000000000006;ND;ND000180031413;08/06/2015;;;;
479;DO000000000006;ND;ND000180031414;08/06/2015;;;;
480;DO000000000006;ND;ND000180032722;08/06/2015;;;;
481;DO000000000006;ND;ND000180032793;08/06/2015;;;;
482;DO000000000006;ND;ND200180030502;08/06/2015;;;;
483;DO000000000006;CB;CB000180030001;08/06/2015;;;;
484;DO000000000006;CB;CB000180030003;08/06/2015;;;;
485;DO000000000006;CB;CB000180030007;08/06/2015;;;;
486;DO000000000006;CB;CB000180030329;08/06/2015;;;;
487;DO000000000006;CB;CB000180030341;08/06/2015;;;;
488;DO000000000006;CB;CB000180030739;08/06/2015;;;;
489;DO000000000006;CB;CB000180030916;08/06/2015;;;;
490;DO000000000006;CB;CB000180030975;08/06/2015;;;;
491;DO000000000006;CB;CB000180034416;08/06/2015;;;;
492;DO000000000006;CB;CB000180034417;08/06/2015;;;;
493;DO000000000006;CB;CB000180034418;08/06/2015;;;;
494;DO000000000006;CB;CB000180034419;08/06/2015;;;;
495;DO000000000006;CB;CB000180034420;08/06/2015;;;;
496;DO000000000006;CB;CB000180034421;08/06/2015;;;;
497;DO000000000006;CB;CB000180034422;08/06/2015;;;;
498;DO000000000006;CB;CB000180034601;08/06/2015;;;;
499;DO000000000006;CB;CB000180034602;08/06/2015;;;;
500;DO000000000006;CB;CB000180034603;08/06/2015;;;;
501;DO000000000006;CB;CB000180034604;08/06/2015;;;;
502;DO000000000006;CB;CB000180034605;08/06/2015;;;;
503;DO000000000006;CB;CB000180034606;08/06/2015;;;;
504;DO000000000006;CB;CB000180034607;08/06/2015;;;;
505;DO000000000006;ZP;ZP000180030675;08/06/2015;;;;
506;DO000000000006;ZP;ZP000180030676;08/06/2015;;;;
507;DO000000000006;ZP;ZP000180030698;08/06/2015;;;;
508;DO000000000006;CM;CM000180032598;08/06/2015;;;;
509;DO000000000006;CM;CM000180032599;08/06/2015;;;;
510;DO000000000006;CM;CM000180032602;08/06/2015;;;;
511;DO000000000006;CM;CM000180032956;08/06/2015;;;;
512;DO000000000006;CM;CM000180032958;08/06/2015;;;;
513;DO000000000006;CM;CM000180033134;08/06/2015;;;;
514;DO000000000006;CM;CM000180033569;08/06/2015;;;;
515;DO000000000006;CM;CM000180033570;08/06/2015;;;;
516;DO000000000006;CM;CM100180031521;08/06/2015;;;;
517;DO000000000006;CM;CM200180032598;08/06/2015;;;;
518;DO000000000006;CM;CM200180033134;08/06/2015;;;;
519;DO000000000006;CM;CM900180034416;08/06/2015;;;;
520;DO000000000006;CM;CM900180034417;08/06/2015;;;;
521;DO000000000006;CM;CM900180034418;08/06/2015;;;;
522;DO000000000006;CM;CM900180034419;08/06/2015;;;;
523;DO000000000006;CM;CM900180034420;08/06/2015;;;;
524;DO000000000006;CM;CM900180034421;08/06/2015;;;;
525;DO000000000006;CM;CM900180034422;08/06/2015;;;;
526;DO000000000006;CM;CM900180034601;08/06/2015;;;;
527;DO000000000006;CM;CM900180034602;08/06/2015;;;;
528;DO000000000006;CM;CM900180034603;08/06/2015;;;;
529;DO000000000006;CM;CM900180034604;08/06/2015;;;;
530;DO000000000006;CM;CM900180034605;08/06/2015;;;;
531;DO000000000006;CM;CM900180034606;08/06/2015;;;;
532;DO000000000006;CM;CM900180034607;08/06/2015;;;;
533;DO000000000006;CD;CD001800325981;08/06/2015;;;;
534;DO000000000006;CD;CD001800325991;08/06/2015;;;;
535;DO000000000006;CD;CD001800326021;08/06/2015;;;;
536;DO000000000006;CD;CD001800329561;08/06/2015;;;;
537;DO000000000006;CD;CD001800329581;08/06/2015;;;;
538;DO000000000006;CD;CD001800331341;08/06/2015;;;;
539;DO000000000006;CD;CD001800331342;08/06/2015;;;;
540;DO000000000006;CD;CD001800331343;08/06/2015;;;;
541;DO000000000006;CD;CD001800331344;08/06/2015;;;;
542;DO000000000006;CD;CD001800335691;08/06/2015;;;;
543;DO000000000006;CD;CD001800335692;08/06/2015;;;;
544;DO000000000006;CD;CD001800335693;08/06/2015;;;;
545;DO000000000006;CD;CD001800335694;08/06/2015;;;;
546;DO000000000006;CD;CD001800335695;08/06/2015;;;;
547;DO000000000006;CD;CD001800335701;08/06/2015;;;;
548;DO000000000006;CD;CD001800335702;08/06/2015;;;;
549;DO000000000006;CD;CD001800335703;08/06/2015;;;;
550;DO000000000006;CD;CD001800335704;08/06/2015;;;;
551;DO000000000006;CD;CD001800335705;08/06/2015;;;;
552;DO000000000006;CD;CD001800335706;08/06/2015;;;;
553;DO000000000006;CD;CD001800335707;08/06/2015;;;;
554;DO000000000006;CD;CD201800331341;08/06/2015;;;;
555;DO000000000006;CD;CD201800331342;08/06/2015;;;;
556;DO000000000006;CD;CD201800331343;08/06/2015;;;;
557;DO000000000006;CD;CD201800331344;08/06/2015;;;;
