od_id;od_do_code;od_tbltype;od_codeobj;od_creadat;od_majdate;od_majsrc;od_abddate;od_abdsrc
105;DO000000000025;ND;ND000180031287;08/06/2015;;;;
106;DO000000000025;ND;ND000180031292;08/06/2015;;;;
107;DO000000000025;ND;ND000180031301;08/06/2015;;;;
108;DO000000000025;ND;ND000180031350;08/06/2015;;;;
109;DO000000000025;ND;ND000180031413;08/06/2015;;;;
110;DO000000000025;ND;ND000180031414;08/06/2015;;;;
111;DO000000000025;CM;CM900180034601;08/06/2015;;;;
112;DO000000000025;CM;CM900180034602;08/06/2015;;;;
113;DO000000000025;CM;CM900180034603;08/06/2015;;;;
114;DO000000000025;CM;CM900180034604;08/06/2015;;;;
115;DO000000000025;CM;CM900180034605;08/06/2015;;;;
116;DO000000000025;CM;CM900180034606;08/06/2015;;;;
117;DO000000000025;CM;CM900180034607;08/06/2015;;;;
118;DO000000000026;ND;ND000180031227;08/06/2015;;;;
119;DO000000000026;ND;ND000180031330;08/06/2015;;;;
120;DO000000000026;ND;ND000180032722;08/06/2015;;;;
121;DO000000000026;CM;CM000180032958;08/06/2015;;;;
122;DO000000000026;CM;CM900180034416;08/06/2015;;;;
123;DO000000000026;CM;CM900180034417;08/06/2015;;;;
124;DO000000000027;ND;ND000180030502;08/06/2015;;;;
125;DO000000000027;ND;ND000180030503;08/06/2015;;;;
126;DO000000000027;CM;CM000180033134;08/06/2015;;;;
127;DO000000000027;CM;CM000180033569;08/06/2015;;;;
128;DO000000000027;CM;CM000180033570;08/06/2015;;;;
129;DO000000000027;CM;CM200180033134;08/06/2015;;;;
130;DO000000000038;ND;ND000180030502;08/06/2015;;;;
131;DO000000000038;ND;ND000180030502;08/06/2015;;;;
132;DO000000000038;CM;CM000180033134;08/06/2015;;;;
133;DO000000000038;CM;CM000180033569;08/06/2015;;;;
134;DO000000000038;CM;CM000180033570;08/06/2015;;;;
135;DO000000000038;CM;CM200180033134;08/06/2015;;;;
136;DO000000000039;ND;ND000180030064;08/06/2015;;;;
137;DO000000000039;ND;ND000180030065;08/06/2015;;;;
138;DO000000000039;ND;ND000180030072;08/06/2015;;;;
139;DO000000000039;ND;ND000180030091;08/06/2015;;;;
140;DO000000000039;ND;ND000180031091;08/06/2015;;;;
141;DO000000000039;ND;ND000180031092;08/06/2015;;;;
142;DO000000000039;ND;ND000180031093;08/06/2015;;;;
143;DO000000000039;ND;ND000180031100;08/06/2015;;;;
144;DO000000000039;ND;ND000180031101;08/06/2015;;;;
145;DO000000000039;CM;CM000180032598;08/06/2015;;;;
146;DO000000000039;CM;CM000180032599;08/06/2015;;;;
147;DO000000000039;CM;CM000180032602;08/06/2015;;;;
148;DO000000000039;CM;CM000180032956;08/06/2015;;;;
149;DO000000000039;CM;CM900180034418;08/06/2015;;;;
150;DO000000000039;CM;CM900180034419;08/06/2015;;;;
151;DO000000000039;CM;CM900180034420;08/06/2015;;;;
152;DO000000000039;CM;CM900180034421;08/06/2015;;;;
153;DO000000000039;CM;CM900180034422;08/06/2015;;;;
154;DO000000000039;CM;CM200180032598;08/06/2015;;;;
155;DO000000000040;ND;ND000180030502;08/06/2015;;;;
156;DO000000000040;ND;ND000180030503;08/06/2015;;;;
157;DO000000000040;CM;CM000180033134;08/06/2015;;;;
158;DO000000000040;CM;CM000180033569;08/06/2015;;;;
159;DO000000000040;CM;CM000180033570;08/06/2015;;;;
160;DO000000000040;CM;CM200180033134;08/06/2015;;;;
161;DO000000000041;ND;ND000180030502;08/06/2015;;;;
162;DO000000000041;ND;ND000180030503;08/06/2015;;;;
163;DO000000000041;CM;CM000180033134;08/06/2015;;;;
164;DO000000000041;CM;CM000180033569;08/06/2015;;;;
165;DO000000000041;CM;CM000180033570;08/06/2015;;;;
166;DO000000000041;CM;CM200180033134;08/06/2015;;;;
167;DO000000000002;ND;ND000180030502;08/06/2015;;;;
168;DO000000000001;ND;ND000180030503;08/06/2015;;;;
169;DO000000000003;ND;ND000180030503;08/06/2015;;;;
170;DO000000000003;ND;ND000180030091;08/06/2015;;;;
171;DO000000000001;ND;ND000180030091;08/06/2015;;;;
172;DO000000000001;CD;CD001800335691;08/06/2015;;;;
173;DO000000000001;CD;CD001800335692;08/06/2015;;;;
174;DO000000000001;CD;CD001800335693;08/06/2015;;;;
175;DO000000000001;CD;CD001800335694;08/06/2015;;;;
176;DO000000000001;CD;CD001800335695;08/06/2015;;;;
177;DO000000000001;CD;CD001800335701;08/06/2015;;;;
178;DO000000000001;CD;CD001800335702;08/06/2015;;;;
179;DO000000000001;CD;CD001800335703;08/06/2015;;;;
180;DO000000000001;CD;CD001800335704;08/06/2015;;;;
181;DO000000000001;CD;CD001800335705;08/06/2015;;;;
182;DO000000000001;CD;CD001800335706;08/06/2015;;;;
183;DO000000000001;CD;CD001800335707;08/06/2015;;;;
184;DO000000000003;CD;CD001800335691;08/06/2015;;;;
185;DO000000000003;CD;CD001800335692;08/06/2015;;;;
186;DO000000000003;CD;CD001800335693;08/06/2015;;;;
187;DO000000000003;CD;CD001800335694;08/06/2015;;;;
188;DO000000000003;CD;CD001800335695;08/06/2015;;;;
189;DO000000000002;ND;ND000180030065;08/06/2015;;;;
190;DO000000000002;CD;CD001800331341;08/06/2015;;;;
191;DO000000000002;CD;CD001800331342;08/06/2015;;;;
192;DO000000000002;CD;CD001800331343;08/06/2015;;;;
193;DO000000000002;CD;CD001800331344;08/06/2015;;;;
194;DO000000000002;CD;CD201800331341;08/06/2015;;;;
195;DO000000000002;CD;CD201800331342;08/06/2015;;;;
196;DO000000000002;CD;CD201800331343;08/06/2015;;;;
197;DO000000000002;CD;CD201800331344;08/06/2015;;;;
198;DO000000000015;CD;CD001800331341;08/06/2015;;;;
199;DO000000000015;CD;CD001800331342;08/06/2015;;;;
200;DO000000000015;CD;CD001800331343;08/06/2015;;;;
201;DO000000000015;CD;CD001800331344;08/06/2015;;;;
202;DO000000000015;CD;CD001800335691;08/06/2015;;;;
203;DO000000000015;CD;CD001800335692;08/06/2015;;;;
204;DO000000000015;CD;CD001800335693;08/06/2015;;;;
205;DO000000000015;CD;CD001800335694;08/06/2015;;;;
206;DO000000000015;CD;CD001800335695;08/06/2015;;;;
207;DO000000000015;CD;CD001800335701;08/06/2015;;;;
208;DO000000000015;CD;CD001800335702;08/06/2015;;;;
209;DO000000000015;CD;CD001800335703;08/06/2015;;;;
210;DO000000000015;CD;CD001800335704;08/06/2015;;;;
211;DO000000000015;CD;CD001800335705;08/06/2015;;;;
212;DO000000000015;CD;CD001800335706;08/06/2015;;;;
213;DO000000000015;CD;CD001800335707;08/06/2015;;;;
214;DO000000000015;CD;CD201800331341;08/06/2015;;;;
215;DO000000000015;CD;CD201800331342;08/06/2015;;;;
216;DO000000000015;CD;CD201800331343;08/06/2015;;;;
217;DO000000000015;CD;CD201800331344;08/06/2015;;;;
218;DO000000000020;CD;CD001800331341;08/06/2015;;;;
219;DO000000000020;CD;CD001800331342;08/06/2015;;;;
220;DO000000000020;CD;CD001800331343;08/06/2015;;;;
221;DO000000000020;CD;CD001800331344;08/06/2015;;;;
222;DO000000000020;CD;CD001800335691;08/06/2015;;;;
223;DO000000000020;CD;CD001800335692;08/06/2015;;;;
224;DO000000000020;CD;CD001800335693;08/06/2015;;;;
225;DO000000000020;CD;CD001800335694;08/06/2015;;;;
226;DO000000000020;CD;CD001800335695;08/06/2015;;;;
227;DO000000000020;CD;CD001800335701;08/06/2015;;;;
228;DO000000000020;CD;CD001800335702;08/06/2015;;;;
229;DO000000000020;CD;CD001800335703;08/06/2015;;;;
230;DO000000000020;CD;CD001800335704;08/06/2015;;;;
231;DO000000000020;CD;CD001800335705;08/06/2015;;;;
232;DO000000000020;CD;CD001800335706;08/06/2015;;;;
233;DO000000000020;CD;CD001800335707;08/06/2015;;;;
234;DO000000000020;CD;CD201800331341;08/06/2015;;;;
235;DO000000000020;CD;CD201800331342;08/06/2015;;;;
236;DO000000000020;CD;CD201800331343;08/06/2015;;;;
237;DO000000000020;CD;CD201800331344;08/06/2015;;;;
238;DO000000000021;CD;CD001800331341;08/06/2015;;;;
